# Form icon filenames
# Put files under public/img/icons/
# Naming rule: nameEn/formVariant uppercase, keep hyphen, .png
# nameEn | baseSpeciesEn | icon filename

toxtricity-amped-gmax | toxtricity | TOXTRICITY-AMPED-GMAX.png
toxtricity-low-key | toxtricity | TOXTRICITY-LOW-KEY.png
toxtricity-low-key-gmax | toxtricity | TOXTRICITY-LOW-KEY-GMAX.png
type-null | - | TYPE-NULL.png
typhlosion-hisui | typhlosion | TYPHLOSION-HISUI.png
urshifu-rapid-strike | urshifu | URSHIFU-RAPID-STRIKE.png
urshifu-rapid-strike-gmax | urshifu | URSHIFU-RAPID-STRIKE-GMAX.png
urshifu-single-strike | urshifu | URSHIFU-SINGLE-STRIKE.png
urshifu-single-strike-gmax | urshifu | URSHIFU-SINGLE-STRIKE-GMAX.png
vivillon-continental | vivillon | VIVILLON-CONTINENTAL.png
vivillon-elegant | vivillon | VIVILLON-ELEGANT.png
vivillon-fancy | vivillon | VIVILLON-FANCY.png
vivillon-garden | vivillon | VIVILLON-GARDEN.png
vivillon-high-plains | vivillon | VIVILLON-HIGH-PLAINS.png
vivillon-icy-snow | vivillon | VIVILLON-ICY-SNOW.png
vivillon-jungle | vivillon | VIVILLON-JUNGLE.png
vivillon-marine | vivillon | VIVILLON-MARINE.png
vivillon-modern | vivillon | VIVILLON-MODERN.png
vivillon-monsoon | vivillon | VIVILLON-MONSOON.png
vivillon-ocean | vivillon | VIVILLON-OCEAN.png
vivillon-poke-ball | vivillon | VIVILLON-POKE-BALL.png
vivillon-polar | vivillon | VIVILLON-POLAR.png
vivillon-river | vivillon | VIVILLON-RIVER.png
vivillon-sandstorm | vivillon | VIVILLON-SANDSTORM.png
vivillon-savanna | vivillon | VIVILLON-SAVANNA.png
vivillon-sun | vivillon | VIVILLON-SUN.png
vivillon-tundra | vivillon | VIVILLON-TUNDRA.png
voltorb-hisui | voltorb | VOLTORB-HISUI.png
vulpix-alola | vulpix | VULPIX-ALOLA.png
walking-wake | - | WALKING-WAKE.png
weezing-galar | weezing | WEEZING-GALAR.png
wishiwashi-school | wishiwashi | WISHIWASHI-SCHOOL.png
wishiwashi-solo | wishiwashi | WISHIWASHI-SOLO.png
wo-chien | - | WO-CHIEN.png
wooper-paldea | wooper | WOOPER-PALDEA.png
wormadam-plant | wormadam | WORMADAM-PLANT.png
wormadam-sandy | wormadam | WORMADAM-SANDY.png
wormadam-trash | wormadam | WORMADAM-TRASH.png
xerneas-active | xerneas | XERNEAS-ACTIVE.png
yamask-galar | yamask | YAMASK-GALAR.png
zacian-crowned | zacian | ZACIAN-CROWNED.png
zamazenta-crowned | zamazenta | ZAMAZENTA-CROWNED.png
zapdos-galar | zapdos | ZAPDOS-GALAR.png
zigzagoon-galar | zigzagoon | ZIGZAGOON-GALAR.png
zoroark-hisui | zoroark | ZOROARK-HISUI.png
zorua-hisui | zorua | ZORUA-HISUI.png
zygarde-10 | zygarde | ZYGARDE-10.png
zygarde-10-power-construct | zygarde | ZYGARDE-10-POWER-CONSTRUCT.png
zygarde-50 | zygarde | ZYGARDE-50.png
zygarde-50-power-construct | zygarde | ZYGARDE-50-POWER-CONSTRUCT.png
zygarde-complete | zygarde | ZYGARDE-COMPLETE.png
zygarde-mega | zygarde | ZYGARDE-MEGA.png

Total: 328
